A,B,C,D,E
1.0,1.3292121726491863,,-0.31628035962142975,-0.990810386640961
2.0,-1.0708162556202396,-1.4387132798348028,0.5644168515196336,0.29572188762233814
3.0,-1.626404233310685,0.21956519874807617,0.6788047990250634,1.8892727314152815
4.0,0.9615383986783163,0.10401119568373923,,0.8502285312282443
5.0,1.4534246664060821,1.0577374355811098,0.16556160715827276,0.515018378039662
6.0,-1.3369356857829062,0.5628611367075439,1.39285482506846,-0.06332798345060607
7.0,0.12166836153455808,1.2076025381991033,-0.0020402149102765046,1.627795744482153
8.0,0.35449278572224,1.0375276327263334,-0.3856835127679468,0.5198180007843201
9.0,1.6865828874516027,-1.325963145762744,1.4289837002109638,-2.0893542774693676
10.0,-0.12981993743229778,0.6315229493643316,-0.5865380642949874,0.2907200809776823
